관서명,살인 발생,살인 검거,강도 발생,강도 검거,강간 강제추행 발생,강간 강제추행 검거,절도 발생,절도 검거,폭력 발생,폭력 검거
도경찰청,0 ,1 ,0 ,1 ,0 ,382 ,0 ,2 ,0 ,117 
수원중부,6 ,6 ,5 ,4 ,144 ,121 ,1416 ,950 ,1635 ,1448 
수원남부,6 ,7 ,3 ,4 ,255 ,232 ,1879 ,1091 ,2806 ,2343 
수원서부,2 ,2 ,0 ,0 ,177 ,140 ,1408 ,934 ,1897 ,1546 
안양동안,2 ,2 ,0 ,0 ,101 ,97 ,742 ,437 ,1031 ,881 
안양만안,3 ,3 ,3 ,3 ,88 ,80 ,849 ,630 ,1243 ,1081 
군포,2 ,2 ,0 ,0 ,86 ,79 ,751 ,553 ,1056 ,911 
성남수정,2 ,1 ,6 ,6 ,108 ,99 ,1134 ,812 ,1443 ,1228 
성남중원,1 ,1 ,3 ,2 ,123 ,112 ,876 ,428 ,1345 ,1159 
분당,8 ,6 ,4 ,4 ,137 ,126 ,1042 ,699 ,1435 ,1242 
부천소사,1 ,1 ,4 ,4 ,67 ,58 ,848 ,582 ,1093 ,935 
부천원미,3 ,3 ,7 ,7 ,276 ,249 ,1993 ,1262 ,2756 ,2349 
부천오정,3 ,3 ,0 ,0 ,61 ,54 ,588 ,432 ,872 ,781 
광명,4 ,3 ,4 ,3 ,100 ,77 ,933 ,609 ,1454 ,1269 
안산단원,2 ,2 ,8 ,8 ,202 ,176 ,1642 ,974 ,2291 ,1954 
안산상록,9 ,9 ,1 ,1 ,132 ,118 ,1220 ,602 ,1985 ,1705 
시흥,8 ,8 ,8 ,8 ,207 ,161 ,1854 ,938 ,2849 ,2301 
평택,8 ,9 ,6 ,6 ,255 ,217 ,2341 ,1258 ,3684 ,3038 
오산,3 ,3 ,1 ,1 ,110 ,78 ,874 ,464 ,1287 ,1024 
화성서부,7 ,6 ,2 ,2 ,124 ,108 ,1242 ,608 ,1955 ,1584 
화성동탄,3 ,2 ,2 ,1 ,132 ,113 ,1289 ,688 ,1946 ,1693 
용인동부,9 ,9 ,0 ,0 ,201 ,179 ,1866 ,1363 ,2327 ,1957 
용인서부,3 ,3 ,1 ,1 ,68 ,59 ,867 ,511 ,1156 ,968 
광주,3 ,3 ,1 ,1 ,105 ,95 ,982 ,590 ,2163 ,1858 
김포,5 ,5 ,2 ,1 ,136 ,128 ,1468 ,859 ,2142 ,1766 
하남,4 ,3 ,5 ,6 ,77 ,69 ,788 ,528 ,1048 ,850 
과천,0 ,0 ,0 ,0 ,14 ,11 ,213 ,115 ,173 ,149 
의왕,2 ,2 ,2 ,2 ,26 ,19 ,219 ,136 ,342 ,301 
이천,5 ,5 ,0 ,0 ,85 ,74 ,739 ,411 ,1245 ,1061 
안성,5 ,5 ,6 ,6 ,91 ,69 ,629 ,371 ,1152 ,957 
여주,3 ,2 ,1 ,1 ,43 ,34 ,310 ,185 ,549 ,468 
양평,2 ,2 ,3 ,3 ,50 ,5 ,279 ,152 ,544 ,462 
